Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0390340433_01   36.753799 -114.883991  1000.543       1.268     6.369     0.275     6.478
0390340437_01   36.810977 -115.372063  1329.437      -2.054     0.973    -2.173     0.645
0390340438_01   36.889922 -115.351840  1418.638       6.787     2.236     6.349     3.241
0390340440_01   36.878438 -114.868062   894.982      -0.820    -3.268    -0.308    -3.350
0390340470_01   36.688809 -114.621234   497.000      -0.187     2.944    -0.637     2.878
0390340472_01   36.704102 -114.656362   532.000       1.076    -0.634     1.160    -0.460
0390340496_01   36.648618 -114.586544   490.000      -1.166     3.485    -1.687     3.262
0390340501_01   36.802650 -114.894085   640.000       1.846    -0.391     1.882    -0.103
0390340512_01   36.802328 -114.922006   677.000      -0.679     1.293    -0.868     1.173
0390340523_01   36.609393 -114.494530   404.000      -4.579    -0.749    -4.408    -1.444
0390340528_01   36.661683 -114.631456   468.000       1.158    -0.593     1.235    -0.408
0390340545_01   36.633948 -114.492062   414.000      -4.242     1.324    -4.393     0.655
0390340554_01   36.803832 -114.945836   744.000       3.833    -0.166     3.809     0.423
0390340563_01   36.677827 -114.681649   493.000      -1.320     0.835    -1.432     0.622
0390340572_01   36.640359 -114.633112   498.000       1.600     0.551     1.495     0.790
0390340574_01   36.796776 -114.639406   500.000       0.102    -2.176     0.434    -2.133
0390340577_01   36.705965 -114.252320   404.000      -1.045    -5.574    -0.177    -5.666
